"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj"
"TDRD3",0.117243087983888,-0.685845037866141,0.035,0.064,1
"RAB29",0.11756186133185,-0.322473515802408,0.296,0.367,1
"ZNF564",0.117572071521692,1.1304381096631,0.065,0.041,1
"SMYD2",0.117715105548816,-0.72748895077835,0.08,0.118,1
"ETFA",0.117754543278912,-0.227690275562361,0.221,0.29,1
"MAN2B2",0.117763484567212,-0.494136650235747,0.095,0.139,1
"C5orf28",0.117852956988454,0.882045621441472,0.045,0.025,1
"LRBA",0.117900707531364,0.623448811099351,0.196,0.157,1
"UGGT1",0.117903988607136,-0.480611924894191,0.07,0.108,1
"MAPK14",0.117946541768373,-0.441844701752913,0.156,0.206,1
"VMA21",0.117952690117934,-0.363486121290563,0.186,0.244,1
"FBXO21",0.11811589688043,0.390668274914262,0.181,0.14,1
"POFUT1",0.118137459423516,-0.129391583879675,0.045,0.077,1
"DDX31",0.118145815695068,0.813608687105445,0.07,0.045,1
"NBPF9",0.118319180203612,-0.162329368811676,0.05,0.085,1
"PDXP",0.118428134780365,0.904792071343414,0.055,0.033,1
"PRRC2C",0.118448766000317,0.248484652588643,0.628,0.595,1
"SLC25A17",0.11849848965092,0.563877871055143,0.075,0.048,1
"LCLAT1",0.118537823833337,0.356608031350256,0.116,0.081,1
"CEBPZ",0.118582900981627,0.485814909703157,0.236,0.196,1
"SLC35D1",0.118586870816803,0.842630169301135,0.045,0.025,1
"SAAL1",0.118733126597247,0.927306746488959,0.08,0.054,1
"GLYCTK",0.118742298471717,-0.697268465321358,0.05,0.083,1
"BRPF3",0.118964018135827,-0.976273362005329,0.02,0.044,1
"LENG8-AS1",0.119078295045109,0.925393472648261,0.055,0.033,1
"SLC16A5",0.119111079322644,-0.998646842105996,0.015,0.037,1
"CEP83",0.119230414916954,0.656203511856869,0.095,0.065,1
"MROH6",0.119281763540616,-0.953187112464511,0.015,0.037,1
"MRPL52",0.119358524472563,0.30171136524158,0.422,0.401,1
"DTNBP1",0.119362042706416,0.440547434574772,0.176,0.137,1
"DDX52",0.11936336201816,-0.72596455580887,0.075,0.112,1
"FAM219A",0.119623706910574,-0.932031597932951,0.015,0.037,1
"KRT10",0.119654528621719,0.189344174445235,0.563,0.523,1
"RNU11",0.119770885837113,-1.35257884106821,0.025,0.05,1
"CELA1",0.119940649479562,-1.92819029705863,0.01,0.029,1
"ILF3",0.120079616315361,-0.261551248765559,0.397,0.461,1
"WDR27",0.120104653128822,0.741952582316535,0.08,0.053,1
"ACBD6",0.120160423966271,0.439750350231791,0.231,0.192,1
"CHAC1",0.120279625071891,0.75437096704376,0.02,0.008,1
"RNF216",0.120286801942517,-0.414734263212613,0.161,0.211,1
"LTK",0.12032933282759,-1.91575138035473,0.01,0.029,1
"PDE7B",0.120387493728486,1.66568557884573,0.04,0.022,1
"SAP18",0.12074035812469,-0.140668490684162,0.608,0.685,1
"ZDHHC8",0.120826558767611,-0.814161544657034,0.015,0.037,1
"ZKSCAN8",0.120880664339855,0.89415835377789,0.055,0.033,1
"CA6",0.120901228655806,-2.33622746555324,0,0.012,1
"RP3-467K16.4",0.120901228655806,-2.43160377844265,0,0.012,1
"C1QC",0.120901228655806,-2.89302798121028,0,0.012,1
"RP11-403I13.7",0.120901228655806,-2.45361179827584,0,0.012,1
"SPEG",0.120901228655806,-2.3756687437863,0,0.012,1
"IL17RE",0.120901228655806,-2.19396640497343,0,0.012,1
"CACNA2D2",0.120901228655806,-2.48184379682041,0,0.012,1
"SCD5",0.120901228655806,-2.53596139345865,0,0.012,1
"FAM151B",0.120901228655806,-1.82830633207266,0,0.012,1
"CAGE1",0.120901228655806,-2.04789411296157,0,0.012,1
"NME8",0.120901228655806,-2.17671046797332,0,0.012,1
"TRGV5",0.120901228655806,-2.51495680105734,0,0.012,1
"GNAI1",0.120901228655806,-2.00918652581677,0,0.012,1
"CLCN1",0.120901228655806,-2.1482634060312,0,0.012,1
"LINC00891",0.120901228655806,-2.14236851007079,0,0.012,1
"NAP1L2",0.120901228655806,-2.40432908288712,0,0.012,1
"XPNPEP2",0.120901228655806,-2.40743829912094,0,0.012,1
"SLITRK4",0.120901228655806,-2.17382269968311,0,0.012,1
"NEFL",0.120901228655806,-2.59056549441816,0,0.012,1
"ADGRA2",0.120901228655806,-2.0206307027444,0,0.012,1
"RUSC2",0.120901228655806,-2.51067617652657,0,0.012,1
"LRFN4",0.120901228655806,-1.89021804951137,0,0.012,1
"GRAMD1B",0.120901228655806,-2.3163643306124,0,0.012,1
"ST8SIA6",0.120901228655806,-2.33872316282834,0,0.012,1
"RP11-338I21.1",0.120901228655806,-2.40182483916838,0,0.012,1
"B4GALNT3",0.120901228655806,-2.6733578353416,0,0.012,1
"PKP2",0.120901228655806,-1.77843929006349,0,0.012,1
"AC079630.4",0.120901228655806,-1.66817100228812,0,0.012,1
"RP11-762I7.5",0.120901228655806,-2.10401250717329,0,0.012,1
"RP11-347I19.7",0.120901228655806,-2.27435648347953,0,0.012,1
