"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HGF",0.000712320316845765,-4.19141881147649,0,0.028,1
"FAAH2",0.000712320316845765,-4.57364249537146,0,0.028,1
"GPRASP1",0.000712320316845765,-4.60165582143165,0,0.028,1
"P2RY2",0.000712320316845765,-4.15752095606338,0,0.028,1
"RP11-1008C21.1",0.000712320316845765,-4.21967595613994,0,0.028,1
"FAM157C",0.000712320316845765,-4.2633048831863,0,0.028,1
"ZGLP1",0.000712320316845765,-4.06368796377878,0,0.028,1
"PDPK1",0.000712473531262328,-0.432892442788429,0.097,0.176,1
"ZNF862",0.000712714891752063,-0.714377157452344,0.045,0.103,1
"NACC2",0.000713973469385103,-0.799878566535707,0.06,0.124,1
"ACTR1B",0.000715297085116022,1.05018939274152,0.237,0.179,1
"TAOK1",0.000716048567778397,-0.390888995010701,0.137,0.229,1
"PTDSS1",0.000717445330617238,-0.287526779127885,0.227,0.351,1
"NLRP1",0.000717586909555762,-0.31563670248537,0.224,0.346,1
"CDK14",0.000720393880652627,-2.72349577279741,0.007,0.043,1
"MDS2",0.000721706599682229,-1.9100424333896,0.015,0.056,1
"GLTP",0.000723860002100176,0.827500514065282,0.287,0.228,1
"PRMT1",0.000724406367972884,0.77921683595259,0.352,0.305,1
"GLRX3",0.000725269430915787,1.09012311059202,0.242,0.19,1
"THG1L",0.000727648308786491,-0.831166403749673,0.045,0.102,1
"MGAT5",0.000727662309380171,-1.06129263239919,0.037,0.091,1
"PNPLA8",0.000729265834621326,-0.308164633972554,0.132,0.226,1
"WAPL",0.000730781435737142,-0.316551678685701,0.175,0.28,1
"FAS",0.000738855476717763,-0.832042029081746,0.045,0.103,1
"PLA2G7",0.000739243341853826,-2.39643979481631,0.007,0.043,1
"FLOT1",0.000740388212873481,0.847437514644395,0.327,0.276,1
"ZNF211",0.000744160542174858,1.60780621892071,0.08,0.038,1
"TNFRSF13B",0.000744519746724639,-4.00743543424352,0.005,0.038,1
"NME8",0.000749380123721111,2.75870036187325,0.03,0.007,1
"CITED4",0.000750399440260336,-0.895025674038513,0.032,0.084,1
"KLHL5",0.000752100006669399,-1.56773873626521,0.02,0.064,1
"SPATA5L1",0.000754780545893678,-0.983089985341752,0.022,0.069,1
"POLR2C",0.000759942926209617,0.851578387446746,0.302,0.249,1
"FAM91A1",0.000760953589268733,-0.671090081777584,0.06,0.124,1
"LETMD1",0.000764317419188524,-0.314848676474092,0.135,0.227,1
"SHMT2",0.000766889151590986,-0.360330028946017,0.15,0.249,1
"RP9",0.000768651154880115,-0.529601404785726,0.085,0.158,1
"TMEM43",0.000772036042439297,1.10162348570969,0.207,0.151,1
"OR2A1-AS1",0.000772070866339481,-3.92608155843637,0.002,0.033,1
"PRRC2B",0.000772629770068739,-0.383031864830784,0.185,0.287,1
"PLEKHM3",0.000775143558281911,-3.66604435021767,0.002,0.033,1
"WIPF2",0.000778059359076461,-0.586851888580038,0.067,0.134,1
"ATG4D",0.000778842499899762,1.19725922545757,0.172,0.115,1
"LENG8",0.000784554672485719,-0.35097586732034,0.262,0.388,1
"MIF4GD",0.000785622868099714,0.956473018404578,0.272,0.222,1
"POLL",0.000786037321203919,-0.533730107581542,0.047,0.107,1
"SORBS3",0.000788587469526379,-0.718548672773225,0.032,0.085,1
"RP11-117D22.2",0.000793819381642635,-3.1982537657733,0.002,0.033,1
"YAF2",0.000798810654042064,1.28308380918759,0.177,0.121,1
"GRAP",0.000799686105163255,-0.944809418189287,0.052,0.111,1
"STX16",0.000799719185097208,-0.423943035145997,0.157,0.251,1
"NTMT1",0.000801432067956049,-0.499447540145711,0.082,0.155,1
"ELOVL5",0.000801696790391063,-0.310962239941922,0.257,0.384,1
"ETF1",0.000804076547377318,-0.311538394516637,0.147,0.245,1
"FLNA",0.000805004847360877,0.324471695836152,0.681,0.645,1
"SAG",0.00080776338246407,4.32092713977153,0.015,0.001,1
"RP11-977G19.12",0.00080776338246407,4.43149081336128,0.015,0.001,1
"AP001505.10",0.00080776338246407,4.15189386512492,0.015,0.001,1
"DRC3",0.000811260884066856,4.55267517470376,0.015,0.001,1
"CDC45",0.000811260884066856,3.7499530203272,0.015,0.001,1
"SMARCC1",0.000811782627105442,-0.443334983131414,0.185,0.286,1
"DAPL1",0.000814772432922277,4.09007874068036,0.015,0.001,1
"GAS1",0.000814772432922277,3.99515458586762,0.015,0.001,1
"RP11-345J4.5",0.000816158695515501,-0.431742478811117,0.072,0.143,1
"KIAA0430",0.000816304332320715,-0.534604238083258,0.107,0.187,1
"ACAD10",0.000817277401427941,-1.20340818817157,0.022,0.068,1
"RP11-894P9.1",0.000818298080398535,3.63796423094068,0.015,0.001,1
"TNFRSF10C",0.000819370434562907,-2.60459704972071,0.002,0.033,1
"UCK2",0.000820564877020539,1.58494380301147,0.07,0.031,1
"GTSE1",0.000821837878029594,3.32027088646571,0.015,0.001,1
"ATP5J",0.000822564648985878,0.371810244515133,0.594,0.595,1
"RP11-284N8.3",0.000822972621200409,-2.1793980912819,0.01,0.047,1
"DENND4B",0.000824483567714204,-0.314674054317611,0.14,0.233,1
"ATP5H",0.000825657521813778,-0.260558533896639,0.419,0.586,1
"LMO7",0.000826520573550622,-2.33088432359919,0.005,0.038,1
"EDEM3",0.000828705558640807,-0.658128499576161,0.075,0.142,1
"OAF",0.000831060284943291,-2.05282486185236,0.005,0.038,1
"EIF3M",0.000834860991661623,-0.302753681772271,0.434,0.591,1
"RETSAT",0.000838795000369143,-1.13411189381183,0.02,0.064,1
"RNF24",0.000840127430739145,-0.810956971699855,0.04,0.095,1
"ASPSCR1",0.000840535129683516,-0.340821257170463,0.102,0.185,1
"LINC01215",0.000841611987414464,-1.2595963248479,0.022,0.068,1
"SLC16A3",0.000845678668774593,-0.598771288789919,0.137,0.226,1
"CNIH1",0.00084799880334737,-0.270565170906292,0.2,0.314,1
"TSN",0.00085548165187928,1.0357483348579,0.224,0.168,1
"NHEJ1",0.000856167527483787,-0.904782712192558,0.035,0.087,1
"RUFY3",0.000856167527483787,-0.839517231479822,0.035,0.087,1
"C15orf39",0.000864256370190375,-0.432501802629166,0.13,0.218,1
"IFNL1",0.000866604770774093,3.0130308592381,0.027,0.006,1
"FRAT1",0.000869541897010725,-0.614816828266385,0.062,0.127,1
"MAP3K2",0.000873372468959188,-0.382788318232351,0.125,0.211,1
"BCAP31",0.000876120113670125,0.490006251842784,0.549,0.54,1
"SFXN4",0.000884897370965901,-0.895432839088339,0.04,0.094,1
"MIR4458HG",0.000885997863928393,2.86039527282412,0.027,0.006,1
"RNPC3",0.000889123507739535,-0.453497722999387,0.09,0.165,1
"DNM2",0.000890498054350927,0.885926263549635,0.317,0.27,1
"PRICKLE1",0.000891843259690308,-4.65127636071198,0,0.027,1
"MARC1",0.000891843464322363,-5.07001352308114,0,0.027,1
"MTL5",0.000891843464322363,-4.00169204071263,0,0.027,1
"RP11-342D11.3",0.000891843464322363,-4.4391007749896,0,0.027,1
"TRAV8-4",0.000891843464322363,-5.07139525757843,0,0.027,1
"DBNDD1",0.000891843464322363,-4.59157543841682,0,0.027,1
"RP11-126O1.6",0.000891843464322363,-4.56161669166756,0,0.027,1
"UTP6",0.00089189791808277,-0.367345887343478,0.107,0.191,1
"KCTD5",0.000893189815458901,1.26175789251646,0.122,0.071,1
"LINC00092",0.000893373421797165,2.82558147811999,0.027,0.006,1
"NDRG1",0.000899895873232217,-0.377907900384165,0.055,0.118,1
"SRSF8",0.000903704471161035,0.748648413217637,0.297,0.235,1
"RNH1",0.000904506050698307,-0.262861115457786,0.392,0.521,1
