"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj"
"PASK",0.0484437729306732,-1.63999638981117,0.016,0.047,1
"SESN2",0.0485107137436366,-1.56933210790512,0.01,0.039,1
"FAM32A",0.0485615813858317,-0.197935253716799,0.188,0.275,1
"DNAJA2",0.0487063686072961,-0.2117673975409,0.156,0.232,1
"PSD4",0.0487231738819357,-0.44183335372486,0.062,0.112,1
"ZNF468",0.0487580788863694,-1.54036201489214,0.01,0.039,1
"EIF4A1",0.0487773399475702,-0.154173260964651,0.391,0.52,1
"COL6A2",0.0488407741870999,-1.60046780990314,0.01,0.039,1
"PSMD2",0.0488654656650908,-0.315428429435761,0.141,0.211,1
"UTF1",0.0488997982925478,-0.503730955782158,0.016,0.048,1
"PPP2R4",0.0489041895671317,-0.376815879938688,0.052,0.1,1
"NDUFV2",0.0489433216805132,-0.177102454836374,0.302,0.425,1
"HOXB4",0.0491297475240952,-2.37152870490222,0.005,0.03,1
"ADGRE3",0.0492009230263043,-2.86574228241075,0,0.02,1
"ATP1B1",0.0492009310347039,-2.68512956636446,0,0.02,1
"SHISA4",0.0492009310347039,-2.61840715812578,0,0.02,1
"RHOU",0.0492009310347039,-2.87332811358502,0,0.02,1
"GPD1L",0.0492009310347039,-3.12299606030359,0,0.02,1
"ACPP",0.0492009310347039,-3.19782688395676,0,0.02,1
"SPTSSB",0.0492009310347039,-3.95975320776138,0,0.02,1
"IL1RAP",0.0492009310347039,-2.82898935507041,0,0.02,1
"SYNJ2",0.0492009310347039,-3.14900410210778,0,0.02,1
"GPR141",0.0492009310347039,-3.35653610194437,0,0.02,1
"NME8",0.0492009310347039,-3.24541954868107,0,0.02,1
"AC144652.1",0.0492009310347039,-2.76328577235291,0,0.02,1
"SFTPD",0.0492009310347039,-2.39949651667918,0,0.02,1
"MARVELD1",0.0492009310347039,-2.70010137582711,0,0.02,1
"CCDC64",0.0492009310347039,-3.21146033967513,0,0.02,1
"FAN1",0.0492009310347039,-3.15779993793084,0,0.02,1
"PEAK1",0.0492009310347039,-3.37446010222372,0,0.02,1
"RP11-473M20.9",0.0492009310347039,-3.48265623413008,0,0.02,1
"LINC00920",0.0492009310347039,-3.18342700732143,0,0.02,1
"RP11-483P21.2",0.0492009310347039,-2.50380084961706,0,0.02,1
"SLC16A6",0.0492009310347039,-3.3429889719935,0,0.02,1
"OPRL1",0.0492009310347039,-2.62857719808467,0,0.02,1
"ZNF358",0.0492009310347039,-2.71454607981721,0,0.02,1
"FFAR2",0.0492009310347039,-2.84628957075526,0,0.02,1
"ZNF224",0.0492455964673779,0.765625336516633,0.135,0.092,1
"TMEM9B",0.0492557529958522,-0.227985930999982,0.214,0.303,1
"UBE2O",0.0492739164983672,1.3281409457075,0.068,0.038,1
"MYO9A",0.049281111476245,1.27096480124199,0.073,0.042,1
"SLC25A44",0.0493205303341755,-2.18412986817219,0.005,0.03,1
"MFF",0.0494216345843304,-0.242544115050728,0.193,0.271,1
"WDR81",0.0495119343535025,-2.19250406065895,0.005,0.03,1
"HPRT1",0.0495855643459289,-0.216248158493212,0.125,0.196,1
"PPA1",0.0495931832412021,-0.300164372343549,0.229,0.32,1
"THEM4",0.0496302109657282,-0.702555497203247,0.073,0.123,1
"MRPL11",0.0497000488263975,-0.259578763711517,0.156,0.236,1
"ZNF318",0.0497134590248487,1.30659608444242,0.073,0.042,1
"RP11-841O20.2",0.0497581744272065,-1.23065805376283,0.01,0.039,1
"CDC42EP2",0.0498002084262234,-2.01294911862884,0.005,0.03,1
"CNPPD1",0.0498229655669983,-0.308918003606563,0.12,0.188,1
"TKFC",0.0498276344510675,1.37638393290143,0.062,0.034,1
"SRP54",0.049865208134476,-0.536205239785626,0.089,0.144,1
"KIAA0368",0.0498807356490559,-1.16648916930538,0.016,0.047,1
"ESRRA",0.0498865241598019,-0.655411995131845,0.047,0.091,1
"ARPC5L",0.0499229668919728,-0.577406535501674,0.25,0.326,1
"PCYOX1L",0.0499265174907041,-1.30143887722128,0.01,0.039,1
"STK17A",0.049927113025758,0.190540982639386,0.49,0.418,1
"UQCRC2",0.0500786819764109,-0.224428982254087,0.328,0.425,1
"METRN",0.0501867620786814,-1.86335501501152,0.005,0.03,1
"TRAPPC3",0.0502351122825337,-0.357449893176918,0.172,0.248,1
"ANKRD49",0.0502411569056282,0.825971485002783,0.172,0.127,1
"STK39",0.050264636431155,-1.27987702027029,0.01,0.039,1
"KMT2B",0.0502647693354251,-1.23844588414503,0.016,0.047,1
"DIRC2",0.050283792497083,-1.57295134445312,0.005,0.03,1
"CFAP20",0.0503263891219032,-1.12299569907246,0.057,0.1,1
"TBC1D22B",0.0503809800934032,-1.51691031311575,0.005,0.03,1
"SEC23B",0.0504074991943033,-0.755587867698806,0.052,0.097,1
"PCID2",0.0504187871687186,-0.508266507661189,0.078,0.132,1
"KCMF1",0.050454332416311,-0.791601029840808,0.042,0.083,1
"IRGQ",0.0504783250557008,-1.62299686235873,0.005,0.03,1
"THAP2",0.0504868123708412,-0.78057482497855,0.026,0.062,1
"LLGL2",0.0506563998184755,-1.58161769136718,0.021,0.054,1
"PRDX4",0.0507274624951411,-0.184742727464385,0.078,0.135,1
"JADE1",0.0507653317144381,-0.470641345483713,0.083,0.14,1
"PDK4",0.0507713060203801,-1.45905574364402,0.005,0.03,1
"ZNF185",0.0507713060203801,-1.42600506237907,0.005,0.03,1
"MFSD3",0.0507713060203801,-1.42763558134702,0.005,0.03,1
"GAB2",0.0507713060203801,-1.14841143098171,0.005,0.03,1
"MRPS23",0.0508244897749757,-0.399724302949932,0.094,0.153,1
"NMB",0.0508692823289531,-1.49379349826408,0.005,0.03,1
"CTD-2517O10.6",0.0508695290580994,2.56831627116182,0.016,0.004,1
"C8orf37",0.0508695290580994,2.98178733852023,0.016,0.004,1
"SLC35F2",0.0508695290580994,2.91370633591425,0.016,0.004,1
"ANO10",0.0509674169451293,-1.25667028706807,0.005,0.03,1
"TMEM106B",0.0509717663026392,-0.394969184062853,0.078,0.134,1
"CHTF8",0.0509804669352482,-0.125015194433657,0.099,0.162,1
"ARID1A",0.0509855463933001,-0.221777723561025,0.109,0.173,1
"PAK2",0.0510365638481896,-0.18482796999677,0.25,0.346,1
"USP45",0.0510741592686948,2.94046877462154,0.016,0.004,1
"RP5-1112D6.7",0.0510741592686948,2.82988679968974,0.016,0.004,1
"SLC39A8",0.0511183385906159,-1.08653326323963,0.01,0.039,1
"FUNDC2",0.0511271818047886,-0.295403184028416,0.141,0.211,1
"UBE2J2",0.0511655529085224,-0.215859361439445,0.146,0.22,1
"NDUFA10",0.0511688794614485,-0.313916840192398,0.188,0.269,1
"GOLPH3L",0.0511866204085134,1.70416940216424,0.047,0.023,1
"CBWD3",0.0512085686588318,0.967015221109258,0.146,0.104,1
"RP13-270P17.1",0.051279478309003,2.39927979596025,0.016,0.004,1
"POLR2E",0.051304488445105,-0.141843268238864,0.234,0.337,1
"DNAJC13",0.0513826752878159,-0.342042138596708,0.021,0.055,1
"BOP1",0.0513916701214592,-0.466810880618548,0.047,0.091,1
"TATDN1",0.0514410645428683,-0.489717628236189,0.104,0.163,1
"LHFPL4",0.0514854878864635,2.3913560370922,0.016,0.004,1
"RP11-575L7.8",0.0514854878864635,2.56270807574267,0.016,0.004,1
"BRF2",0.0515497220383113,1.15809196653845,0.057,0.03,1
"GLTSCR1L",0.0515890673080272,-0.865207655619453,0.016,0.047,1
"PLEKHM2",0.0516734724207424,-0.829053777044329,0.021,0.055,1
"COPS5",0.0516819836929741,-0.174642961462906,0.156,0.233,1
"HCG27",0.0516921897101536,2.31881507845289,0.016,0.004,1
"OCM",0.0516921897101536,2.58915814806298,0.016,0.004,1
"KDM8",0.0516921897101536,2.1580848457694,0.016,0.004,1
"ZRANB1",0.0517467695570676,-1.16709585686328,0.016,0.047,1
"EMC8",0.0517579239614653,-0.250961632281177,0.068,0.119,1
"ZNF594",0.051899585490778,2.33767294625118,0.016,0.004,1
"HGS",0.0520884433435716,-0.609216227644449,0.057,0.104,1
"CBLN3",0.0521076769406594,2.37423409932035,0.016,0.004,1
"AC021224.1",0.0521076769406594,1.99568518724475,0.016,0.004,1
"LINC00667",0.0521097901730507,-0.276873155861056,0.073,0.126,1
"C12orf49",0.0521246880236418,-0.325310830931315,0.052,0.099,1
"NCOA2",0.0521842782129718,-0.428185401747759,0.036,0.077,1
"CREB3",0.0522199696252576,-0.760834267456486,0.042,0.083,1
"PHTF1",0.0522592079092022,-0.859041222079036,0.021,0.055,1
"THUMPD3",0.0522895064768145,-0.739666699727246,0.036,0.076,1
"RTKN",0.0523164657737287,1.98214116628895,0.016,0.004,1
"RP11-499E18.1",0.0523164657737287,2.28274349365954,0.016,0.004,1
"BACE1-AS",0.0523164657737287,2.10509283811658,0.016,0.004,1
"RP11-96H19.1",0.0523164657737287,1.71461776610456,0.016,0.004,1
"TOR3A",0.0525149906489523,0.908309280435919,0.146,0.104,1
"C1RL",0.0525413435109693,-0.613970586071814,0.016,0.047,1
"FAM134B",0.0525751261513204,-0.926272479870523,0.036,0.075,1
"C4orf32",0.0526281026336242,-0.748876778759514,0.021,0.055,1
"LANCL2",0.0526461050582101,1.69958821763489,0.036,0.016,1
"TRIP6",0.0526461050582101,1.69899869115276,0.036,0.016,1
"ZNF551",0.0526461050582101,1.7819749391733,0.036,0.016,1
"OXR1",0.0526531830139201,-0.280809872118552,0.083,0.14,1
"GSPT1",0.0527456065089991,-0.34331280354191,0.125,0.19,1
"IMMP1L",0.0528808499700129,-0.668871922831244,0.052,0.097,1
"UBE2Z",0.0528830537995462,-0.3736124580764,0.073,0.125,1
"CCDC107",0.0529612625298299,-0.402674917389502,0.182,0.251,1
"SERTAD1",0.0531703469420015,-0.490355172063233,0.104,0.162,1
"GPN3",0.0531754022721974,-0.226071231320305,0.062,0.114,1
"AK1",0.0532403111973832,-1.79770388777583,0.01,0.038,1
"APPL2",0.0533303900996711,-1.75806685286266,0.01,0.038,1
"XRCC6",0.0533652231551415,-0.202781090775674,0.385,0.5,1
"RP11-352M15.2",0.0533875007713191,0.828731411050678,0.141,0.098,1
"ANAPC4",0.0534650657059342,-1.26890055595577,0.021,0.054,1
"B3GAT3",0.0536289860779287,-0.251950226115765,0.135,0.208,1
"OPA1",0.0536694240294341,-0.707585417033096,0.042,0.083,1
"CDCA4",0.0539202155721821,-1.10768986007462,0.021,0.054,1
"TSC2",0.0539831687972659,-0.665872384205367,0.047,0.09,1
"AKR1A1",0.0540047980960361,-0.208756012195575,0.182,0.27,1
"NSMCE3",0.0540306059576777,-0.288757451886445,0.177,0.252,1
"AP3B1",0.0541469642153919,0.861861392114599,0.177,0.136,1
"MT-ND1",0.0542887680375259,-0.120185826622797,0.974,0.98,1
"GCLC",0.0543390681686528,-0.844679208715559,0.026,0.062,1
"ECHS1",0.0543517783129911,-0.32636775314402,0.167,0.242,1
"BICD1",0.0543722848934938,1.35235160871526,0.047,0.023,1
"ALG3",0.0545268089839017,-0.439867997662287,0.073,0.125,1
"GABPB1",0.05456090173903,0.397707700365225,0.37,0.334,1
"UBE2J1",0.054572418712645,0.582089156424212,0.339,0.309,1
"DOHH",0.0545743918871281,-0.468801669987951,0.031,0.069,1
"PAGR1",0.0546798522769494,-1.34934947450964,0.016,0.046,1
"AL592183.1",0.0547258967710755,1.05833537584339,0.115,0.077,1
"MROH1",0.0547630517864321,-1.07782454124038,0.021,0.054,1
"TIPARP",0.0547784270623208,-0.703963802673209,0.042,0.083,1
"USP28",0.0549162854829203,0.770696444888538,0.104,0.066,1
"ZBTB44",0.0549517295537454,-0.677485183803322,0.068,0.115,1
"RAB1B",0.0549531781093771,-0.2654572517304,0.109,0.175,1
"TMEM141",0.0549800304874575,-0.349463344873727,0.156,0.229,1
"HELLS",0.0550250578745143,1.36911671245274,0.036,0.016,1
