"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DOCK5",1.21342084598158e-104,2.97882270552692,0.408,0.042,4.08850019845034e-100
"LGALS1",4.65078008628151e-104,1.4183086300949,0.985,0.456,1.56703384227169e-99
"ARPC3",2.87791180549679e-103,1.03273669121071,0.995,0.893,9.69683603744088e-99
"ATG3",2.9505120397893e-103,1.92863598272069,0.82,0.278,9.94145526686606e-99
"C10orf54",7.56077685917146e-103,1.56706265138542,0.95,0.47,2.54752815492923e-98
"CSTA",9.16092996387304e-103,1.02520383958775,0.835,0.199,3.08668374202738e-98
"RNF130",9.80131168053113e-103,1.52565149939884,0.835,0.232,3.30245395763816e-98
"MPEG1",1.02320178759984e-102,1.59076040983829,0.733,0.169,3.44757610313891e-98
"CARD16",1.64951011898394e-102,1.51726390121062,0.943,0.434,5.5578593949045e-98
"MTSS1",2.31082396316435e-102,1.84008395406698,0.74,0.187,7.78609026148595e-98
"HLA-DPA1",9.76373552225719e-102,1.44621134854501,0.99,0.553,3.28979304686934e-97
"STX11",1.06170941079903e-101,2.19339334332248,0.583,0.11,3.57732368874624e-97
"C3AR1",1.18646950583528e-101,3.26189951250648,0.36,0.029,3.99769035296139e-97
"ADGRE1",3.72820905434369e-100,3.16262693547598,0.368,0.033,1.25618275877056e-95
"POU2F2",6.89896717709684e-100,1.62848675218152,0.885,0.332,2.32453800065101e-95
"RHOB",1.32370459766893e-98,2.07751795709928,0.858,0.35,4.46009027138568e-94
"C20orf27",3.32449469469009e-98,1.96636733020728,0.725,0.196,1.12015524242888e-93
"RHOG",7.5492306261239e-98,1.47028033034748,0.945,0.496,2.54363776716619e-93
"RPS3",1.76181911909673e-97,-0.97031628301995,0.995,0.999,5.93627333988453e-93
"ALDH3B1",6.72517400260326e-97,2.64820196625884,0.425,0.053,2.26598012843714e-92
"CDA",1.94317014927936e-96,1.78778104291798,0.585,0.108,6.54731750098189e-92
"LYL1",2.2631816605416e-96,1.95820144264402,0.64,0.141,7.62556428702887e-92
"RPS27A",3.14247413633122e-96,-0.85881572610277,0.998,1,1.05882523549544e-91
"LTA4H",3.65437918901761e-96,1.57782546863632,0.897,0.37,1.23130652394759e-91
"ODF3B",4.48496532136741e-96,2.1573290421987,0.598,0.129,1.51116421538153e-91
"PIK3AP1",1.31803320293564e-95,1.98928193229927,0.66,0.154,4.44098107397134e-91
"PTPN6",3.38772407195216e-95,1.45990996098817,0.963,0.538,1.14145974880356e-90
"THEMIS2",1.02349164926686e-94,1.74888743765505,0.703,0.17,3.44855276303977e-90
"UNC93B1",1.78810881430772e-94,2.04040004669613,0.618,0.136,6.02485383892844e-90
"RP11-1008C21.1",3.04753338245622e-94,9.70263763097212,0.205,0,1.0268358978848e-89
"RAB31",4.04192482665771e-94,1.79797450342125,0.627,0.136,1.36188615109405e-89
"IFNGR2",4.33364589798285e-94,1.81469080723806,0.745,0.209,1.46017864886634e-89
"SLC25A6",7.75123632487795e-94,0.943627388116808,0.993,0.908,2.61170156730438e-89
"ZDHHC1",8.02621778009437e-94,3.33910313194263,0.348,0.032,2.704353818825e-89
"RRAS",9.44027773371357e-94,3.29652554322093,0.338,0.029,3.18080717959745e-89
"NAGA",9.69153160867084e-94,2.16756249533313,0.527,0.093,3.26546466022555e-89
"LPCAT2",1.37832278387808e-93,3.10920286566818,0.368,0.038,4.64412078799879e-89
"CTSZ",1.49410808388533e-93,1.77153901120751,0.723,0.187,5.03424777784322e-89
"CD86",4.0684651016187e-93,2.27086214460401,0.512,0.089,1.3708286313394e-88
"PAPSS2",2.36481154521959e-92,6.26205446106277,0.228,0.004,7.96799602046288e-88
"FCGR2A",3.8161549189064e-92,2.16950029827207,0.498,0.082,1.28581523837632e-87
"RGS18",3.82564779655643e-92,2.18144649660637,0.482,0.076,1.28901376857172e-87
"PTP4A3",1.12894234236617e-90,3.03699205657179,0.36,0.038,3.80385832836857e-86
"INSIG1",5.19241942482787e-89,2.29102344438291,0.593,0.14,1.7495338010015e-84
"OAZ2",7.26120057319043e-89,1.96293347899667,0.655,0.162,2.44658892113078e-84
"FCGRT",9.50453434311034e-89,1.43457268837884,0.825,0.262,3.2024578015676e-84
"ITGAX",5.00700508216254e-88,2.01055132808731,0.555,0.114,1.68706029238385e-83
"GNAI2",6.9813273676993e-88,1.43253050446953,0.93,0.444,2.3522884432726e-83
"PAK1",9.91114464161284e-88,1.97382244415932,0.573,0.122,3.33946107554503e-83
"HOTAIRM1",3.0729615575816e-87,2.00579449262486,0.562,0.116,1.03540366721155e-82
"RNH1",1.50152084415017e-86,1.51164129944478,0.89,0.418,5.0592243322796e-82
"DRAP1",2.27533720428422e-86,1.42198850389513,0.932,0.512,7.66652117611525e-82
"C15orf39",3.57465447303856e-86,2.10750517974089,0.507,0.094,1.20444407814561e-81
"IFITM2",1.84024129937023e-85,1.25919907494054,0.993,0.778,6.20050903409806e-81
"MCTP1",2.68513471171032e-85,2.75960441425041,0.38,0.049,9.04729289763677e-81
"RPS15A",2.92251349213061e-85,-0.762054089061465,1,1,9.84711696038486e-81
"IRAK3",3.74076425047495e-85,2.19432140752084,0.412,0.057,1.26041310655503e-80
"ALDOA",5.42323624696977e-85,1.04840594185732,0.993,0.837,1.82730522105399e-80
"CD302",8.47409046453101e-85,1.45967795744997,0.65,0.151,2.85526004111908e-80
"RPL32",1.68925744418911e-84,-0.843867915821169,1,1,5.69178403245078e-80
"KDM1B",1.69186328888956e-84,2.59320421407864,0.398,0.054,5.70056416558447e-80
"FGR",4.67737608313848e-84,1.3492211634092,0.92,0.388,1.57599509745268e-79
"RGS19",1.21235703348954e-83,1.50295575521241,0.885,0.4,4.08491578863966e-79
"CEACAM3",1.78951813422673e-83,5.54259833580137,0.195,0.002,6.02960240146355e-79
"FAM45A",4.35130117550614e-83,1.74891972349854,0.615,0.148,1.46612741807504e-78
"MNDA",4.69973188625621e-83,0.71816086087355,0.848,0.239,1.58352766175517e-78
"LYPD2",6.26461609338604e-83,8.40202970081187,0.19,0.002,2.11079974650549e-78
"ABCC3",1.13852920685044e-82,4.24907825302845,0.238,0.011,3.83616030956189e-78
"SOD2",1.72311442507527e-82,1.65146389381096,0.815,0.313,5.80586174384862e-78
"RPL3",1.82969954856008e-82,-1.05952961290757,0.995,0.997,6.16498965891834e-78
"GNG5",1.94879941300871e-82,1.32985273251131,0.932,0.521,6.56628474219156e-78
"RAB10",2.39668510946631e-82,1.70019206719578,0.767,0.258,8.07539080783579e-78
"ARPC2",8.63804204594983e-82,0.873326063312177,0.995,0.895,2.91050188696234e-77
"H3F3A",1.0837855648197e-81,0.766126319007708,1,0.958,3.65170708210349e-77
"PLAGL2",4.00396247029432e-81,3.09263777538916,0.295,0.025,1.34909511474097e-76
"SH3BGRL",5.67648287969642e-81,1.2975268643474,0.93,0.596,1.91263414148491e-76
"FGD2",8.90224819341112e-81,1.99400312961305,0.53,0.112,2.99952350628794e-76
"ZFAND5",3.72127490465821e-80,1.48092418552002,0.88,0.398,1.25384636637554e-75
"TCIRG1",4.55316593500409e-80,1.61761570689893,0.805,0.304,1.53414373014028e-75
"RELT",1.19844690767328e-79,2.07409500359984,0.54,0.12,4.03804701071435e-75
"CDK2AP1",5.28753054989382e-79,3.6180277703608,0.27,0.02,1.78158054348122e-74
"EPB41L3",7.74353032329946e-79,2.82551730854907,0.325,0.036,2.60910510713252e-74
"RPL13",8.39821941119755e-79,-0.810140558924601,1,1,2.8296960484089e-74
"CHST15",1.07529155950853e-78,2.59600976630814,0.355,0.045,3.62308738060805e-74
"ADRBK1",2.41577246619625e-78,1.59845809731955,0.725,0.22,8.13970374760164e-74
"TNFAIP2",5.36767113244533e-78,1.8003078330201,0.545,0.12,1.80858311136613e-73
"TGFBI",6.92216229622436e-78,1.63060649229453,0.537,0.114,2.33235336408984e-73
"RIN1",7.24501971073111e-78,3.22373172252628,0.282,0.024,2.44113694133374e-73
"CD69",8.38809153146578e-78,-3.65803283310946,0.27,0.696,2.82628356061208e-73
"SH2B3",1.50660209555265e-77,2.11844822722823,0.472,0.09,5.07634510075508e-73
"TPPP3",1.69199187309207e-77,3.35986556035008,0.28,0.024,5.70099741719643e-73
"RASGRP4",3.57911398851178e-77,2.7043304032334,0.332,0.04,1.20594666728916e-72
"AP2A1",9.13364566197203e-77,1.6559621440156,0.657,0.182,3.07749056934486e-72
"P2RY13",2.22921317384268e-76,2.5104219303047,0.362,0.05,7.51111086794553e-72
"MXD3",2.5707466715378e-75,2.85331398966352,0.292,0.028,8.66187383507947e-71
"SLC24A4",2.68327401535208e-75,2.54178977534014,0.325,0.038,9.04102346732731e-71
"SULT1A1",4.80052024577365e-75,1.77042294749314,0.545,0.126,1.61748729161097e-70
"HES1",5.40158309581399e-75,2.88335051438692,0.3,0.031,1.82000940830357e-70
"RPSA",9.44558139535866e-75,-1.09519929179639,0.985,0.981,3.18259419535215e-70
"TNFSF13B",1.09513358563504e-74,1.31292174065734,0.652,0.17,3.6899431034387e-70
"RARA",1.49866338161997e-74,1.77126717807516,0.618,0.172,5.04959639803032e-70
"SH3BP2",3.17933577020561e-74,1.73127982425701,0.637,0.176,1.07124539441308e-69
"RPL19",2.01874638609992e-73,-0.669207173217114,1,1,6.80196407332508e-69
"AP1S2",2.74519420815693e-73,1.0374401579084,0.892,0.362,9.24965736496396e-69
"LYZ",5.71685819532538e-73,-0.389359036712768,0.98,0.441,1.92623820033293e-68
"RGS2",9.70805390208809e-73,1.35764561104744,0.863,0.37,3.27103168176956e-68
"ZNF385A",1.56041814481183e-72,1.68739796620641,0.505,0.108,5.25767289712899e-68
"LINC00936",2.2544569159875e-72,1.44384040847866,0.815,0.322,7.59616713272828e-68
"ARRB1",2.85115489728571e-72,2.16649286618142,0.415,0.074,9.60668131091447e-68
"RALB",3.21513644343438e-72,1.84971248549009,0.545,0.132,1.08330807325078e-67
"NAGK",3.67453163315958e-72,1.60494989166981,0.665,0.201,1.23809668847679e-67
"PFN1",8.06682100395205e-72,0.638173398518763,1,0.988,2.7180346690716e-67
"MCOLN1",1.11585262350674e-71,2.17583954837897,0.402,0.068,3.75975382964361e-67
"ATP5E",1.40681677460595e-71,0.644779709281782,0.998,0.97,4.7401284403573e-67
"SLC16A3",1.46505767149148e-71,1.71612325277996,0.547,0.13,4.93636531832339e-67
"CD4",2.07741461246424e-71,1.54428069901046,0.647,0.188,6.99964079523701e-67
"RP11-750H9.5",6.44403338229379e-71,3.6899399829851,0.222,0.013,2.17125260783007e-66
"HRH2",6.7776458799558e-71,2.14920930466103,0.398,0.068,2.28366000279231e-66
"ZEB2",1.03684066280439e-70,1.29660640201438,0.828,0.315,3.49353092925312e-66
"MTMR11",1.05715246409811e-70,2.16473640962423,0.385,0.063,3.56196951253217e-66
"TNFSF10",2.48949043917886e-70,1.6931961436691,0.688,0.23,8.38808908576925e-66
"PPT1",3.94897581337843e-70,1.42757561641258,0.782,0.294,1.33056791055973e-65
"RPS28",4.8003528747614e-70,-0.617321568841007,1,1,1.61743089762211e-65
