"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KAT6B",0.0192717546211663,-0.733348062874272,0.11,0.152,1
"SSRP1",0.0192750446292447,-0.538319868190065,0.182,0.226,1
"ZNF699",0.0193007613938612,-1.0742254177635,0.028,0.056,1
"DONSON",0.0193117314027291,-1.86877462835108,0.018,0.042,1
"RANGRF",0.0193151069847209,-0.622879121487761,0.122,0.166,1
"KLHL5",0.0193221758650706,0.806133549872425,0.078,0.049,1
"CHIC2",0.019335181925446,-0.543157921690304,0.152,0.199,1
"LIN52",0.0193773992344379,-1.00818816319242,0.022,0.049,1
"SLC25A12",0.0193785879672323,-1.01980897882562,0.032,0.062,1
"PSMB5",0.0193945500908071,0.366324210959819,0.18,0.134,1
"FAM24B",0.0193966496752862,-1.55064697957389,0.02,0.045,1
"MITD1",0.0194084663590711,-0.522755692790232,0.16,0.203,1
"CHAC2",0.0194308148048599,-2.12769638372161,0.002,0.018,1
"KANSL2",0.0194405235654067,-0.876195614143265,0.07,0.106,1
"ARSG",0.0194500649369007,-0.965960258457621,0.038,0.068,1
"SLC38A11",0.0194797978734071,-3.93418233812953,0,0.014,1
"RP11-221J22.2",0.0194797978734071,-3.00656649949628,0,0.014,1
"AMACR",0.0194797978734071,-3.62156293496989,0,0.014,1
"MBLAC1",0.0194797978734071,-3.3595149700979,0,0.014,1
"C10orf91",0.0194797978734071,-3.44680542965843,0,0.014,1
"E2F1",0.0194797978734071,-3.25172352986203,0,0.014,1
"IGLC7",0.0194797978734071,-5.37562500267652,0,0.014,1
"ERI1",0.019509543646561,-1.03652256396311,0.02,0.046,1
"ZDBF2",0.01951648155224,-2.04134955146678,0.002,0.018,1
"CD58",0.0195634199618154,0.271347418399406,0.185,0.137,1
"PIK3AP1",0.0195717965101568,0.261715014547272,0.288,0.228,1
"NDUFA9",0.0196076784802993,-0.479947388952688,0.198,0.244,1
"HSF2",0.0196250242433293,-1.04633767470415,0.028,0.056,1
"SMIM8",0.0196662718748806,-0.973072640361345,0.038,0.068,1
"GADD45GIP1",0.0196689850663855,0.421511990123976,0.402,0.35,1
"TRIM62",0.0196695918581971,-1.36449043135511,0.002,0.018,1
"PF4",0.0196816983529387,2.17766434020341,0.013,0.004,1
"SH3GLB1",0.0196862671877019,0.281646472158091,0.352,0.288,1
"EIF5A2",0.0196906383774385,-1.60756236699177,0.013,0.034,1
"PSMA1",0.0196997491948592,0.317106498567429,0.512,0.469,1
"CHKA",0.0197658150171836,0.76601421291253,0.082,0.053,1
"PYM1",0.0197854514772997,0.326157165190375,0.242,0.189,1
"TRDMT1",0.0197982039777519,-1.52229180991531,0.04,0.07,1
"WDR13",0.0198260296836272,0.441598597081029,0.165,0.122,1
"APOLD1",0.0198393528120125,-1.59574627095556,0.018,0.042,1
"MZF1-AS1",0.0198567276493772,-1.23711238870277,0.06,0.094,1
"UXT",0.0198807040217013,-0.227167434909592,0.57,0.616,1
"MBTD1",0.0198861218314181,1.09906489004317,0.068,0.042,1
"SIGLEC5",0.0198947501624518,1.50034175911389,0.038,0.019,1
"KAT7",0.0198993040103306,-0.617445039804607,0.09,0.13,1
"DDX19A",0.0199143855668987,-0.832758063456336,0.07,0.106,1
"CTC1",0.0199691971836239,-1.02414960186286,0.045,0.077,1
"FCGR2B",0.0199789241497569,-0.864928391662161,0.07,0.107,1
"GOPC",0.0199874861389959,-0.709594217650038,0.115,0.156,1
"VIPR1",0.0199952040597425,0.801089628908126,0.08,0.051,1
"APOPT1",0.0200494935023013,0.386206077938747,0.135,0.095,1
"RP11-192H23.4",0.0200588950032759,1.55227382531638,0.013,0.004,1
"UGDH-AS1",0.0200934964236171,1.46868051607741,0.013,0.004,1
"NAF1",0.0201374843601971,-0.866625425338927,0.048,0.08,1
"CHRNB1",0.0201548707892613,-0.987097743261681,0.038,0.068,1
"SMURF1",0.0202367021706751,0.927452737392295,0.055,0.032,1
"N6AMT1",0.020251079632832,-1.93722611919531,0.01,0.03,1
"HAUS7",0.0203535062317,1.09749865066464,0.058,0.034,1
"CCNT2",0.020376437474138,-0.996050095598619,0.088,0.124,1
"ZNF771",0.0204555241236567,-2.65923312512822,0.005,0.022,1
"ABCC5",0.0204781894306066,0.997665480690429,0.062,0.038,1
"RIF1",0.0205973536225628,-0.578757249063735,0.095,0.138,1
"PITPNB",0.0206358089017448,-0.682473810309781,0.12,0.162,1
"ZNF250",0.0206382039653842,-2.17888526308223,0.013,0.034,1
"TAF4B",0.0206959617726435,-1.09256898750522,0.028,0.055,1
"MTIF3",0.0206965681180855,0.30424156954961,0.29,0.233,1
"C17orf67",0.0207932286291458,-2.24255995937861,0.007,0.026,1
"LIPT1",0.0208035443315159,-0.861118397490275,0.032,0.062,1
"PFKP",0.0208120417861688,-1.06155223249375,0.052,0.086,1
"ZNF787",0.0208473894781366,0.969463587941927,0.05,0.028,1
"RRAGC",0.0208517223037172,0.292711132878132,0.128,0.088,1
"GPBP1L1",0.0208628857059735,-0.56560143074586,0.155,0.2,1
"FAM160A2",0.0208992009849479,-0.741985024074594,0.068,0.104,1
"MAPK3",0.0209347474479181,0.542447808559879,0.115,0.08,1
"TAPBPL",0.0209357729980897,-0.724429116687086,0.13,0.172,1
"NDFIP1",0.0209518145645857,-0.292829844367402,0.435,0.477,1
"APOBEC3C",0.0209596359176706,-0.650806159041961,0.208,0.25,1
"CLINT1",0.021051728784918,-0.532656743619705,0.195,0.242,1
"ZNF141",0.0210550453156738,-1.53443404087484,0.038,0.066,1
"BTBD1",0.0210658151106662,-0.69818338918942,0.072,0.11,1
"CAPRIN2",0.0210660202484833,-1.81495899288152,0.018,0.041,1
"ZNF570",0.0210905339129404,-2.04747200254025,0.005,0.022,1
"RP11-326K13.4",0.0210937554371655,-1.84213362272232,0.013,0.034,1
"CLASRP",0.0211011829075233,-0.679205753401896,0.132,0.174,1
"SNAPC3",0.0211171732215295,-0.624894222575561,0.058,0.094,1
"MACROD2",0.0211273333747795,-1.85985710741664,0.005,0.022,1
"ZNF263",0.0211974597656351,-1.16199565450373,0.068,0.102,1
"KLHL9",0.0212206217371848,-0.939381102540553,0.045,0.077,1
"ACP5",0.021242938660898,-0.589992070319918,0.075,0.114,1
"TMEM209",0.0212455091947515,-0.789455224172323,0.052,0.086,1
"RASGEF1A",0.0212872580574279,-3.46060503922413,0.002,0.018,1
"FAM120B",0.021289073999777,-0.767991496661553,0.06,0.096,1
"ACBD6",0.0213016676890169,-0.689339858180317,0.128,0.169,1
"PKD1",0.0213315622059067,0.827471522776742,0.068,0.041,1
"GHRL",0.0213398173521268,0.270065342952313,0.035,0.017,1
"STYXL1",0.0213484067019012,0.607097842750893,0.132,0.095,1
"POLD2",0.0213491924820973,-0.63534390115779,0.105,0.145,1
"RABL2A",0.0213803654945834,-1.29783138661874,0.035,0.064,1
"TMEM41B",0.0214046539945951,-1.23730107683958,0.038,0.067,1
"SLC35C2",0.0214057764761797,-0.557822548877712,0.13,0.174,1
"HIST1H3A",0.0214153631409932,-1.17520743692647,0.025,0.051,1
"FKBP1C",0.0215058391464226,1.07561454988741,0.038,0.019,1
"IGF2R",0.021520311097862,0.496196659242495,0.14,0.102,1
"RALGAPA2",0.0215279469151891,0.695121728945318,0.092,0.062,1
"PRADC1",0.0215492972357108,-0.422947527527906,0.055,0.091,1
"MED6",0.0215759986236909,-0.872161634084388,0.098,0.136,1
"KLHL18",0.021577668944062,0.811273398233889,0.135,0.1,1
"C3orf38",0.0216306273974913,-0.74732986196157,0.07,0.107,1
"CCAR2",0.0216512565422596,-0.595906695244413,0.082,0.122,1
"SH2D3C",0.0216916705818525,-0.566133604051729,0.132,0.178,1
"NPIPB11",0.0217450933544,-1.55459455807293,0.007,0.026,1
"IGHG2",0.0217714543708465,-5.79505699412922,0.002,0.018,1
"POMGNT1",0.0217893886466813,-0.620993590587682,0.045,0.078,1
"ZFP30",0.0217927220751587,-2.18616278265463,0.002,0.018,1
"ISOC1",0.021878767837149,-1.17121247859419,0.052,0.084,1
"RP11-307C12.12",0.0219021445425895,-3.5264237262847,0,0.013,1
"RAMP1",0.0219021445425895,-4.02016051075974,0,0.013,1
"PFN2",0.0219021445425895,-3.57472208108317,0,0.013,1
"ANKRD55",0.0219021445425895,-3.60920798820918,0,0.013,1
"FAM153C",0.0219021445425895,-3.42750316278734,0,0.013,1
"XXbac-BPG246D15.9",0.0219021445425895,-3.28705714594949,0,0.013,1
"TMSB15B",0.0219021445425895,-3.39350505879124,0,0.013,1
"ANKRD20A4",0.0219021445425895,-4.26983834599323,0,0.013,1
"KLRC4-KLRK1",0.0219021445425895,-3.68212893400187,0,0.013,1
"SNTA1",0.0219021445425895,-3.36895909364311,0,0.013,1
"LINC01480",0.0219021445425895,-3.71943011843836,0,0.013,1
"ZNF280B",0.0219021445425895,-3.76317503683674,0,0.013,1
"DENND1B",0.0219080417848017,-0.919537522665746,0.062,0.096,1
"ZNF836",0.0219399428261227,-1.35073074855042,0.03,0.058,1
"CREBZF",0.0219556804442859,-0.636790499238441,0.08,0.119,1
"ALDH9A1",0.0219560413986048,-0.445788723471961,0.152,0.198,1
"METTL15",0.0219884781159861,-1.129673214737,0.052,0.085,1
"SLC41A1",0.0220072692096462,-2.08784846359379,0.01,0.03,1
"MED14OS",0.0220898934329925,1.07328815769868,0.045,0.024,1
"GLT8D1",0.0221368076887619,-0.64035073793566,0.082,0.122,1
"OSBPL7",0.0221406768366315,-1.84912237382447,0.02,0.044,1
"ZCCHC3",0.0221638864489496,0.859229489823124,0.05,0.028,1
"PPID",0.0222181320056798,-0.827374781282401,0.13,0.168,1
"ICE2",0.0222188347582535,-0.827168245005664,0.09,0.128,1
"NLN",0.0222199552878652,1.58548754005774,0.05,0.028,1
"PLRG1",0.0222483045578148,-0.7158822869735,0.105,0.146,1
"NAGPA",0.0222536651885329,0.304847371161463,0.15,0.106,1
"TCEB1",0.0223221344069001,0.326961066900005,0.395,0.336,1
"INTS12",0.0223223880961445,-0.935947455140502,0.045,0.076,1
"UNKL",0.0223864290420875,-1.00988792907143,0.04,0.07,1
"CNNM2",0.022440209623782,-1.33313561120295,0.015,0.038,1
"UBE2I",0.0224925994152294,-0.216745108650225,0.458,0.512,1
"RTCA",0.0225074201723373,-0.677816056179307,0.092,0.132,1
"FAM204A",0.0225361500800856,0.365222763802476,0.31,0.257,1
"ANKRD52",0.0225756531965982,-1.04111636685904,0.02,0.044,1
"FO538757.2",0.0225774047681882,0.381250047716134,0.315,0.26,1
"ITPK1",0.0225809076019182,0.429723420878435,0.16,0.118,1
"MTA3",0.0225933872120451,-1.28531459287207,0.018,0.041,1
"ZNF480",0.0226017397735559,-0.952336653878817,0.072,0.108,1
"C17orf89",0.0226226715484043,0.26062034990317,0.335,0.276,1
"BET1L",0.022684448575737,-0.724162450408794,0.085,0.124,1
"RPL36A",0.0226870031001324,-0.160515112421051,0.958,0.951,1
"AKIRIN1",0.0227101308022388,-0.378324400577031,0.245,0.292,1
