"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"UBE2Q1",0.306474085213455,0.726399624468891,0.11,0.092,1,0.899273870645763,0.46041338058453,0.095,0.103,1,0.899273870645763,0.519021805519486
"KCTD2",0.486599825496623,-0.151670979737346,0.015,0.023,1,0.30662839060936,-0.586123286534479,0.02,0.034,1,0.486599825496623,0.519235811291034
"ABHD11",0.306645017094722,0.106564422614219,0.05,0.072,1,0.665477366654602,0.489634242665672,0.105,0.099,1,0.665477366654602,0.519258867680421
"UBE2T",0.306661410707562,1.27205892584642,0.03,0.019,1,0.472168768986433,-0.286598263048135,0.01,0.017,1,0.472168768986433,0.519281600597972
"ZDHHC16",0.485600144366375,0.641202066131739,0.06,0.049,1,0.306714140708451,0.786890928659728,0.075,0.058,1,0.485600144366375,0.519354717306378
"ZNF879",0.30674163729164,1.10262036450174,0.025,0.015,1,0.72358775969687,0.522979522950926,0.015,0.012,1,0.72358775969687,0.519392842534923
"MYPOP",0.307246407796854,1.06256235132139,0.05,0.036,1,0.784230076693861,0.655969663836829,0.05,0.047,1,0.784230076693861,0.520092460489638
"CASP7",0.890545457446615,0.474434441692348,0.055,0.054,1,0.307406585600043,0.177387871186706,0.06,0.085,1,0.890545457446615,0.520314362329809
"ZDHHC14",0.307422408554776,-0.391648955415307,0.01,0.021,1,0.472805950680938,-0.326725068934995,0.01,0.017,1,0.472805950680938,0.520336279827932
"RP11-802E16.3",0.363232483197109,0.276240458770596,0.025,0.039,1,0.307422408554776,0.454288542111213,0.01,0.021,1,0.363232483197109,0.520336279827932
"GIMAP5",0.437429513697571,0.127776665073538,0.015,0.024,1,0.307613458186751,0.631134886379681,0.135,0.114,1,0.437429513697571,0.520600876715891
"YAE1D1",0.307868668532467,-0.139010918349675,0.01,0.021,1,0.502081662869819,0.513406149023782,0.04,0.031,1,0.502081662869819,0.52095422000098
"DROSHA",0.307945653930395,1.2772059593503,0.03,0.019,1,0.871696513298803,0.306862505657335,0.06,0.058,1,0.871696513298803,0.521060782086172
"ATAD2B",0.308139426092966,1.16026752783711,0.06,0.045,1,0.456015469372793,0.35686143568466,0.145,0.13,1,0.456015469372793,0.521328946273029
"PIAS2",0.569707569518775,0.597987490241855,0.09,0.081,1,0.308336773959089,-0.375448991000768,0.06,0.082,1,0.569707569518775,0.521601981742679
"TEF",0.596979130441435,0.904876412018509,0.02,0.015,1,0.309612656992606,0.871606604123855,0.025,0.015,1,0.596979130441435,0.523365316615191
"A1BG-AS1",0.309663506222201,1.078031237224,0.03,0.019,1,0.79554872894155,0.247009618856901,0.03,0.034,1,0.79554872894155,0.523435525358575
"YIPF5",0.309669885464747,0.670664514982406,0.125,0.106,1,0.542912010749453,0.514510437215764,0.17,0.164,1,0.542912010749453,0.523444332965745
