"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"MFAP1",0.274478404965373,-0.421068836550643,0.05,0.072,1,0.466805407018292,-0.340327816863073,0.08,0.096,1,0.466805407018292,0.47361841513841
"POT1",0.709053640371336,0.403198328951942,0.03,0.036,1,0.274487725004056,-0.411252748260903,0.04,0.06,1,0.709053640371336,0.47363193883021
"GMEB2",0.275000463686997,-0.153511162054244,0.015,0.029,1,0.525586283870898,0.450939977370318,0.07,0.059,1,0.525586283870898,0.47437567234593
"CTDP1",0.937710358427965,0.4931218564565,0.07,0.071,1,0.275091926008779,0.417414533019274,0.15,0.126,1,0.937710358427965,0.474508284262338
"SCOC",0.976910167429251,0.231237445434634,0.11,0.115,1,0.275361741683665,0.46402575871744,0.135,0.109,1,0.976910167429251,0.474899394584269
"BTBD1",0.722177630103504,0.115557531548821,0.07,0.079,1,0.275744576220429,-0.26457368164152,0.105,0.136,1,0.722177630103504,0.475454081125874
"RP11-61K9.3",0.275756849532669,-0.517860393209164,0.01,0.022,1,0.315041069614495,-0.440018558505349,0.025,0.04,1,0.315041069614495,0.475471859001155
"RP11-872J21.3",0.518975610747529,0.77144805550249,0.02,0.014,1,0.275756849532669,-0.145621791903143,0.01,0.022,1,0.518975610747529,0.475471859001155
"FOXK2",0.410236370945148,-0.346239196588608,0.025,0.037,1,0.275895175530805,-0.391879580479746,0.035,0.054,1,0.410236370945148,0.475672203180436
"IFI27L1",0.276534565796635,-0.63312276488814,0.02,0.035,1,0.541940491859604,0.220618941918806,0.02,0.028,1,0.541940491859604,0.476597765512937
"MAPKAP1",0.276639201479705,-0.12899950299024,0.1,0.132,1,0.336508364224845,0.416809215182643,0.205,0.185,1,0.336508364224845,0.476749155164081
"PDRG1",0.27681577118974,0.422708504476427,0.085,0.064,1,0.902344471591051,0.180249735135914,0.105,0.103,1,0.902344471591051,0.477004571200109
"STARD4",0.276855856105212,-0.743113188138767,0.02,0.035,1,0.331033423875782,-0.772547988978876,0.025,0.039,1,0.331033423875782,0.477062547150674
"RBM15",0.495437596921127,-0.442238542651885,0.03,0.04,1,0.27689036538231,0.327754743458374,0.075,0.055,1,0.495437596921127,0.477112456323071
"LUC7L2",0.973073210556598,0.203289609143814,0.17,0.176,1,0.276920901570747,-0.157538492774993,0.25,0.3,1,0.973073210556598,0.477156617414739
"POM121C",0.277717794391001,-0.232432911521435,0.045,0.066,1,0.83904889501566,0.208160806102302,0.21,0.212,1,0.83904889501566,0.4783084154606
"GALNS",0.736882301224076,0.672301378774413,0.035,0.031,1,0.277741336029086,-0.279201907424211,0.06,0.084,1,0.736882301224076,0.47834242231895
"NIF3L1",0.277821253001568,-0.473658605157881,0.02,0.035,1,0.887594111730433,0.211469232404419,0.08,0.085,1,0.887594111730433,0.478457857383775
"PLCD1",0.474607642577362,1.03618283817293,0.03,0.022,1,0.277970778170394,1.0271235895655,0.065,0.048,1,0.474607642577362,0.478673802824134
"METTL21A",0.655550379495848,0.313842420248069,0.135,0.128,1,0.278428036734849,-0.195628676347532,0.155,0.192,1,0.655550379495848,0.479333901829676
"EID2B",0.811971895111773,0.271722883441205,0.03,0.027,1,0.27843415242204,-0.74172258381709,0.025,0.041,1,0.811971895111773,0.4793427276091
"KLHDC7B",0.278788939495576,-0.619457822122527,0.02,0.035,1,0.410831049000781,-0.13538080068462,0.055,0.072,1,0.410831049000781,0.479854606206084
"KANSL2",0.278797729987034,-0.420270837312138,0.04,0.06,1,0.283595222465411,0.442166018061145,0.165,0.14,1,0.283595222465411,0.479867285728144
"RP5-940J5.9",0.871506316140922,0.359597328006457,0.02,0.022,1,0.279112010600035,-0.549813387550729,0.02,0.035,1,0.871506316140922,0.480320506738875
"BMS1",0.27935435724298,-0.129560877396832,0.085,0.114,1,0.814900805085185,0.360189410926437,0.11,0.109,1,0.814900805085185,0.480669857575322
"GABPB2",0.801195726842942,0.47844574517983,0.085,0.082,1,0.279427228323608,-0.381479950885268,0.055,0.078,1,0.801195726842942,0.480774880718602
"PIK3R4",0.524573903503174,-0.362133947827808,0.02,0.028,1,0.279496389844402,0.488702600761731,0.1,0.079,1,0.524573903503174,0.480874547752749
"SMIM8",0.279786776775507,0.583944333701582,0.085,0.065,1,0.395256536481315,0.409063059876537,0.07,0.055,1,0.395256536481315,0.481292913092587
"ZNF616",0.525343080956571,1.46838841887053,0.015,0.01,1,0.279837761487736,0.328991901337452,0.03,0.018,1,0.525343080956571,0.481366350221005
"HOXB4",0.94067368827304,0.119510907172637,0.025,0.026,1,0.28008437082773,0.538240119750224,0.035,0.022,1,0.94067368827304,0.481721486873495
"TMEM69",0.936117476742204,0.360896242439235,0.08,0.081,1,0.280137045429154,-0.219013324034143,0.105,0.136,1,0.936117476742204,0.481797326636532
"YTHDF1",0.361399642982567,0.737006978231473,0.06,0.046,1,0.280317995413778,-0.472246658619906,0.055,0.077,1,0.361399642982567,0.482057812274757
"TRAPPC12",0.280364907905529,-0.190886785731202,0.085,0.114,1,0.313700921293488,-0.163168806020662,0.135,0.17,1,0.313700921293488,0.482125334226182
"CDADC1",0.280438337826688,-0.187843479898385,0.03,0.048,1,0.315531581535688,-0.413218542649557,0.055,0.075,1,0.315531581535688,0.48223101433038
"SAFB",0.339033226774143,0.413450567081636,0.205,0.187,1,0.280727019646804,-0.222259910303112,0.25,0.293,1,0.339033226774143,0.48264637973383
"BBS7",0.645704633324057,-0.124442166185149,0.015,0.02,1,0.280824931394738,-0.578280930985744,0.025,0.041,1,0.645704633324057,0.482787220696616
"EBPL",0.280850015742145,-0.253740190005633,0.085,0.113,1,0.720422281955107,0.144998703674794,0.22,0.214,1,0.720422281955107,0.482823300141926
"ZNF444",0.281028480129676,0.68245372188871,0.07,0.052,1,0.529461046093642,0.101894206452759,0.08,0.067,1,0.529461046093642,0.483079953615356
"MCM3AP",0.281104069733559,-0.26483989955368,0.035,0.054,1,0.830497305652851,0.216000789445306,0.195,0.196,1,0.830497305652851,0.483188641446349
"KIAA1109",0.63229967372635,0.271535381651661,0.115,0.106,1,0.28131054678514,-0.294120712080236,0.175,0.211,1,0.63229967372635,0.483485469837725
"STAT5B",0.566636410052519,0.34952455543846,0.095,0.084,1,0.281706137854187,0.505429808485755,0.15,0.126,1,0.566636410052519,0.484053927603652
"ZNF407",0.342190753488235,-0.355429498134915,0.01,0.02,1,0.28200573906767,-0.701371343905195,0.03,0.047,1,0.342190753488235,0.484484241268237
"KRAS",0.282047738822645,0.217451826673061,0.155,0.202,1,0.390176048649552,0.122404550139256,0.31,0.283,1,0.390176048649552,0.484544550670323
"CTDSP2",0.282130110437676,-0.263847213330463,0.145,0.179,1,0.346628859655535,-0.240637127805267,0.215,0.249,1,0.346628859655535,0.484662821659776
"UROD",0.282313865900177,-0.144126986968085,0.09,0.119,1,0.69984052507706,0.166721920109397,0.18,0.171,1,0.69984052507706,0.484926612920851
"GPD1L",0.310573595867535,0.898053769433385,0.025,0.015,1,0.282533296425541,1.03462217037006,0.05,0.035,1,0.310573595867535,0.485241529261999
"UTP15",0.947056585057562,0.5959590494498,0.02,0.021,1,0.28254605809376,0.773608703299259,0.07,0.052,1,0.947056585057562,0.485259841243198
"XRN2",0.28283662823524,-0.188080116805541,0.29,0.347,1,0.408535343499382,-0.177691725443411,0.375,0.409,1,0.408535343499382,0.485676698199001
"TMEM242",0.283090312594362,-0.318713268156908,0.095,0.122,1,0.916019425972559,0.10438194432173,0.115,0.114,1,0.916019425972559,0.48604050010395
"SNAP47",0.283297128980023,0.383065183761436,0.095,0.073,1,0.827941512966546,0.16389778534543,0.09,0.086,1,0.827941512966546,0.486336994671722
"GPN2",0.283529027301707,-0.196699893192177,0.04,0.06,1,0.905541831768776,0.24501644727362,0.065,0.064,1,0.905541831768776,0.486669345280761
"SLC35C2",0.283590808699559,0.542226345015743,0.155,0.133,1,0.476122498547872,0.304144588110812,0.21,0.195,1,0.476122498547872,0.486757870620248
"GADD45GIP1",0.283826025759014,-0.104530948125456,0.32,0.382,1,0.719089432612808,0.133896359512165,0.345,0.346,1,0.719089432612808,0.487094838619872
"DIEXF",0.524707405828606,0.60310981490489,0.035,0.027,1,0.283988635374581,-0.319757511812023,0.02,0.035,1,0.524707405828606,0.487327725727246
"RWDD2B",0.92127786663271,-0.194267617848684,0.025,0.026,1,0.284258602532843,-0.556220380844752,0.03,0.047,1,0.92127786663271,0.487714251951761
"NLRX1",0.301660010875615,-0.731804492969793,0.01,0.021,1,0.284541063730876,-0.684531842315566,0.03,0.047,1,0.301660010875615,0.488118510512654
"CCDC126",0.492303149865251,0.389492717599591,0.03,0.041,1,0.284704114029004,-0.306921036326758,0.05,0.072,1,0.492303149865251,0.488351795512968
"GOLGA8A",0.284732025924732,0.784636187809038,0.055,0.039,1,0.464717230445006,-0.361245619589528,0.045,0.058,1,0.464717230445006,0.488391725262261
"JMJD6",0.754514850773087,0.257665378839332,0.125,0.14,1,0.284994841170732,-0.264061666655993,0.135,0.17,1,0.754514850773087,0.488767622847533
"SLC48A1",0.285626919080989,-0.356272232568355,0.02,0.035,1,0.533155795657699,0.328288755068358,0.025,0.034,1,0.533155795657699,0.48967110125828
"XPNPEP3",0.575018843810813,0.527073191902745,0.06,0.051,1,0.285749780845594,-0.301688489048916,0.065,0.089,1,0.575018843810813,0.489846624437883
"MIER2",0.285791089239079,-0.369312953095334,0.02,0.035,1,0.782654722936566,0.175825322269624,0.055,0.061,1,0.782654722936566,0.489905631789699
"MTMR9",0.285929540825936,-0.172008135624132,0.055,0.078,1,0.317719303528709,-0.356162692520773,0.06,0.081,1,0.317719303528709,0.490103379334941
"TAF1C",0.285955340892104,-0.316689525102077,0.02,0.035,1,0.998547953242176,0.304335331319885,0.065,0.066,1,0.998547953242176,0.490140224799488
"KIAA0368",0.935937832600632,0.318409397343889,0.04,0.042,1,0.286418560589541,-0.175209704780334,0.08,0.108,1,0.935937832600632,0.490801529328897
"LA16c-358B7.3",0.286460492699453,-0.929398839522707,0.015,0.028,1,0.28921634126743,1.41810722507884,0.02,0.011,1,0.28921634126743,0.490861371521293
"ZBTB16",0.695318568315909,0.195580095670445,0.065,0.058,1,0.286513163474586,0.526508352338154,0.125,0.102,1,0.695318568315909,0.490936534104957
"RPL39L",0.579526421613145,0.675561044388032,0.05,0.042,1,0.287166882014439,-0.468011234929235,0.025,0.041,1,0.579526421613145,0.491868945902983
"CBX5",0.287316090540911,0.458444387917787,0.145,0.121,1,0.5287105876013,0.377801029779179,0.14,0.127,1,0.5287105876013,0.492081645198108
"DLAT",0.287708513304851,0.720629097290864,0.065,0.048,1,0.386255021125647,-0.208748456139633,0.05,0.067,1,0.386255021125647,0.492640837981614
"MDN1",0.800365663156714,0.493948080308796,0.03,0.027,1,0.287804737466766,0.489496694956184,0.14,0.116,1,0.800365663156714,0.492777908025217
"ZCRB1",0.762498741332109,0.260434608062839,0.2,0.2,1,0.287904882033566,-0.221885012626762,0.17,0.205,1,0.762498741332109,0.492920542968369
"ANKMY1",0.477399547349742,0.586261642012591,0.045,0.035,1,0.288207788285673,0.477085265399504,0.11,0.088,1,0.477399547349742,0.493351847342826
"ABHD18",0.318477570569336,-0.319506265131111,0.03,0.046,1,0.288223483626389,0.370360097138973,0.14,0.115,1,0.318477570569336,0.493374190739046
"ZNF236",0.288233200612765,-0.554527395385148,0.025,0.041,1,0.908153342821717,0.293400580046958,0.075,0.074,1,0.908153342821717,0.493388023290052
"UBP1",0.334831430961025,-0.434705927255348,0.045,0.063,1,0.288238454402173,-0.478556036724996,0.06,0.083,1,0.334831430961025,0.493395502208192
"LINC01006",0.625617869181113,1.20461138519317,0.015,0.011,1,0.288303051137211,-0.847909924786137,0.015,0.028,1,0.625617869181113,0.493487452979396
"NOD1",0.520352542682802,-0.644981968137291,0.01,0.016,1,0.288487861125709,-0.471265104575675,0.07,0.093,1,0.520352542682802,0.493750476234532
"NMT1",0.373012081551185,-0.127195838298905,0.155,0.188,1,0.288614454984411,0.423582481052047,0.165,0.139,1,0.373012081551185,0.493930606342874
"ZNF354A",0.977660273733638,0.166000272353578,0.045,0.045,1,0.288695682383235,-0.743060729218472,0.045,0.064,1,0.977660273733638,0.494046167739749
