"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"ATP5G2",0.00074594917434514,-0.267949412683655,0.86,0.918,1,1.19613846661737e-12,-0.530262977625431,0.925,0.951,4.03026894942057e-08,0.00074594917434514,2.3922769332333e-12
"HIGD2A",1.34556672672985e-05,-0.515440684696519,0.535,0.69,0.453375252904355,1.2710282406105e-12,-0.865232112486569,0.585,0.762,4.28260255391301e-08,1.34556672672985e-05,2.54205648121937e-12
"ZNF418",0.000221693622101015,2.94796056845463,0.03,0.004,1,1.27526338814663e-12,6.74712448317796,0.05,0,4.29687246002125e-08,0.000221693622101015,2.55052677629163e-12
"INPP4A",3.64913606017554e-06,-1.97885534833623,0.035,0.16,0.122953990411555,1.3148988525686e-12,-3.3388221923658,0.025,0.254,4.43042019384464e-08,3.64913606017554e-06,2.62979770513546e-12
"MOB3B",1.34306673408037e-12,3.813929222473,0.09,0.009,4.52532905381039e-08,2.96635995932678e-06,3.70993433317978,0.06,0.011,0.0999485324695566,2.96635995932678e-06,2.68613346815893e-12
"CCL4",1.48098589015207e-12,-4.008697064485,0.035,0.265,4.99003385827838e-08,3.38977985983624e-12,-5.19094338804752,0.04,0.26,1.14215242597322e-07,3.38977985983624e-12,2.96197178030194e-12
"CAMK4",0.00165432971117063,-1.54269824904496,0.065,0.145,1,1.48477521911904e-12,-3.4498018591649,0.045,0.273,5.00280162329968e-08,0.00165432971117063,2.96955043823586e-12
"PRKCB",5.66868770476716e-06,0.7766747702901,0.515,0.401,0.191000763524425,1.50907954964954e-12,1.15747287401714,0.58,0.377,5.08469263458915e-08,5.66868770476716e-06,3.01815909929679e-12
"CDA",5.83315116772491e-12,-3.19825573483071,0.02,0.238,1.96542195445323e-07,1.56971256216088e-12,-6.87584241815334,0,0.209,5.28898950694488e-08,5.83315116772491e-12,3.1394251243193e-12
"GPR18",1.64511448398298e-12,2.26658378280895,0.175,0.042,5.54304874233226e-08,3.60407916303986e-10,2.40797529634447,0.16,0.044,1.21435843319465e-05,3.60407916303986e-10,3.29022896796325e-12
"ZDHHC21",1.78768855084247e-12,2.58022402341476,0.16,0.036,6.0234378032086e-08,0.000179143921408779,1.30414715995079,0.145,0.068,1,0.000179143921408779,3.57537710168173e-12
"HRH2",1.35022368289141e-05,-4.94323345971567,0,0.088,0.45494436771343,1.81311304482881e-12,-6.45524236354424,0,0.208,6.10910309324618e-08,1.35022368289141e-05,3.62622608965432e-12
"TSPAN32",1.02523310288163e-09,-3.17859745550308,0.015,0.191,3.45442041684935e-05,1.81902911518323e-12,-2.13749143152696,0.085,0.339,6.12903670069838e-08,1.02523310288163e-09,3.63805823036315e-12
"MAP3K8",0.0638258061951258,-0.365350684157107,0.125,0.186,1,1.84734854685635e-12,1.09155638412694,0.595,0.366,6.22445619377778e-08,0.0638258061951258,3.69469709370928e-12
"HLA-B",1.88559428532204e-12,-0.452870998147935,1,1,6.35332138496407e-08,7.44747372457174e-12,-0.391162720643623,1,1,2.5093517967572e-07,7.44747372457174e-12,3.77118857064052e-12
"FGFBP2",1.91105979642411e-12,-7.48442544134439,0.01,0.222,6.43912487807141e-08,8.17638735939534e-11,-8.58614205644028,0,0.181,2.75495195687467e-06,8.17638735939534e-11,3.82211959284457e-12
"SMARCB1",9.29709098763776e-11,1.4075844718825,0.405,0.226,3.13256183737467e-06,1.98174892580218e-12,1.1536725999875,0.505,0.279,6.67730483059787e-08,9.29709098763776e-11,3.96349785160043e-12
"GPBAR1",1.99069650773844e-12,-5.33557841959841,0.005,0.216,6.70745281317391e-08,5.00548158210386e-12,-5.5392011219111,0.005,0.209,1.68654696427408e-07,5.00548158210386e-12,3.98139301547292e-12
"MYO1E",0.0191005346671146,2.32506376139948,0.025,0.007,1,2.0814066278109e-12,2.87280248847504,0.16,0.036,7.01309149174604e-08,0.0191005346671146,4.16281325561745e-12
"SAMD3",1.21233018853325e-10,-3.75827140490884,0.02,0.212,4.08482533724393e-06,2.09536510192704e-12,-4.40008185852242,0.04,0.26,7.06012317443298e-08,1.21233018853325e-10,4.19073020384968e-12
"FGR",2.25815100381451e-12,-1.53600946435105,0.22,0.48,7.60861399225262e-08,3.37936025591132e-12,-1.33451543133268,0.345,0.551,1.13864164462676e-07,3.37936025591132e-12,4.51630200762393e-12
"CCND3",2.31073125632427e-12,-1.20781156659529,0.325,0.609,7.785777895059e-08,2.33511336350857e-06,-0.744883605866697,0.62,0.747,0.0786793096700579,2.33511336350857e-06,4.6214625126432e-12
"CD300E",7.12059747932599e-11,-6.52584604199421,0,0.182,2.3992141146841e-06,2.41736265906327e-12,-6.66562381868214,0,0.206,8.14506174344778e-08,7.12059747932599e-11,4.83472531812068e-12
"LRP1",2.07134727081175e-05,-3.17463799813615,0.005,0.095,0.69791974942731,2.43930603647063e-12,-5.15276796041556,0.005,0.215,8.21899775928414e-08,2.07134727081175e-05,4.87861207293529e-12
"ANXA5",2.60377548158938e-12,-1.64576786880355,0.205,0.458,8.77316110766724e-08,2.67000365935961e-08,-1.32494779999892,0.33,0.489,0.000899631032984627,2.67000365935961e-08,5.20755096317197e-12
"EFHC1",1.24802332581898e-05,2.11754846979558,0.085,0.024,0.420508979401449,2.60985492614506e-12,2.35982242656438,0.145,0.029,8.79364518815317e-08,1.24802332581898e-05,5.2197098522833e-12
"MEF2C-AS1",0.00161228238890883,3.6375904960276,0.025,0.004,1,2.61969426242968e-12,5.51931240349569,0.065,0.003,8.82679784783057e-08,0.00161228238890883,5.23938852485249e-12
"HK3",3.11738326262689e-06,-5.19239817974007,0,0.1,0.105037111650951,2.79032255234339e-12,-6.66377042044085,0,0.205,9.40171280786582e-08,3.11738326262689e-06,5.58064510467898e-12
