"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"CASP4",0.963590520524684,0.299160528255111,0.307,0.375,1,0.169530977712012,-0.205126255246797,0.342,0.403,1,0.963590520524684,0.310321203020034
"RAPGEF1",0.355251815088905,-1.21855881064411,0.047,0.125,1,0.169633349858851,-0.18351619542076,0.106,0.146,1,0.355251815088905,0.310491226333367
"SLC39A13",0.301728459070928,-1.60298206295249,0.042,0.125,1,0.170468617559526,-1.02603122971565,0.035,0.059,1,0.301728459070928,0.311877685546395
"WDR74",0.864772055013272,0.148825718917615,0.182,0.25,1,0.170672141573265,-0.24882337537281,0.266,0.329,1,0.864772055013272,0.312215303237326
"CCDC57",0.511681972984358,-0.249070910264076,0.135,0.25,1,0.170795942609794,-0.327639484217657,0.161,0.205,1,0.511681972984358,0.312420631207619
"RP3-395M20.8",0.786151024891202,-2.1120758158254,0.01,0,1,0.171082572781882,-1.48080509733468,0.015,0.033,1,0.786151024891202,0.312895898854096
"ZNF567",0.301728459070928,-1.22137168337457,0.042,0.125,1,0.171167731008099,1.20487678534208,0.065,0.044,1,0.301728459070928,0.313037069877737
"ZNF586",0.452433210330211,0.735067791982856,0.068,0,1,0.171167869336465,0.646006707174768,0.085,0.061,1,0.452433210330211,0.313037299179745
"CUL2",0.232633242708156,-1.59742640620097,0.036,0.125,1,0.171413535763978,-0.323283715388572,0.075,0.109,1,0.232633242708156,0.313444471284848
"GPR89B",0.620051238878487,-0.412572831563575,0.031,0,1,0.17147233306137,-0.410087919911639,0.101,0.137,1,0.620051238878487,0.313541905117231
"TIGD2",0.786151024891202,-1.67770726307122,0.01,0,1,0.171577832407111,1.13110311294817,0.03,0.016,1,0.786151024891202,0.3137167122407
"SCYL1",0.171790534096791,-1.06052257554984,0.089,0.25,1,0.232639392809991,-0.234760600421416,0.126,0.162,1,0.232639392809991,0.314069080588322
