"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","max_pval","minimump_p_val"
"ORMDL2",0.430759207828919,0.696669207787595,0.222,0.182,1,0.0506360978987254,1.01232546094689,0.228,0.191,1,0.430759207828919,0.0987081813870415
"KATNBL1",0.237044318033685,-0.676733148127934,0.102,0.182,1,0.0506937759836627,-0.364157109142684,0.064,0.119,1,0.237044318033685,0.0988176930438436
"ABL2",0.795278425270018,0.299607667174539,0.072,0.091,1,0.0507161886636847,-0.905130567860947,0.018,0.052,1,0.795278425270018,0.0988602455347989
"INO80C",0.512866282662243,-1.0221533333843,0.036,0.061,1,0.0508176146587301,-0.410467505556126,0.041,0.087,1,0.512866282662243,0.0990527993578571
"ZNF570",0.673381430889752,0.407763397166953,0.048,0.03,1,0.0508530822138097,1.32154404960913,0.029,0.011,1,0.673381430889752,0.099120128456975
"FTSJ3",0.167387492308845,-0.534916469155505,0.108,0.212,1,0.0508565676643263,1.34083547668928,0.105,0.068,1,0.167387492308845,0.0991267448540564
"MT1X",0.370921947573875,0.146530803466536,0.126,0.212,1,0.0510219532758967,-0.478512277355591,0.088,0.149,1,0.370921947573875,0.0994406668357057
"NF2",0.267032275675655,1.63854983607437,0.084,0.03,1,0.0510444066785063,1.28516771219783,0.105,0.068,1,0.267032275675655,0.0994832819038519
"NPEPPS",0.537938179317764,0.785527424992156,0.21,0.182,1,0.0511623566186862,-0.113071129784452,0.07,0.126,1,0.537938179317764,0.0997071265025948
"ATRX",0.919537934130228,0.171417230465638,0.515,0.576,1,0.0512443335530582,0.541757389002323,0.398,0.382,1,0.919537934130228,0.0998626853848193
"HMGCL",0.607362346360807,0.384922341116611,0.084,0.121,1,0.0514038031848902,1.233537885092,0.117,0.078,1,0.607362346360807,0.100165255387909
"AGER",0.0514339596054109,-1.27657716536855,0.036,0.121,1,0.496249484524862,0.276713013295305,0.012,0.019,1,0.496249484524862,0.100222467010131
"ZDHHC2",0.0514339596054109,-1.12259119490214,0.036,0.121,1,0.31179602692339,0.970493127052506,0.064,0.048,1,0.31179602692339,0.100222467010131
"DDX54",0.32713806888986,0.715501072736552,0.216,0.152,1,0.0514842148164779,0.736715964961755,0.205,0.159,1,0.32713806888986,0.100317805257687
"PPP2CA",0.819506867811277,0.178445568276455,0.401,0.485,1,0.0515232874847236,0.713967237814987,0.31,0.281,1,0.819506867811277,0.100391925816214
"C22orf39",0.992932752659177,0.367685657698763,0.228,0.273,1,0.0515506534482417,0.839694847031852,0.205,0.158,1,0.992932752659177,0.100443837025543
"RP11-356I2.4",0.396610141417713,-0.740179843491791,0.03,0.061,1,0.051563349903614,-0.523919119042902,0.018,0.052,1,0.396610141417713,0.100467920753945
"SNHG9",0.30323107630474,-0.640157858113496,0.251,0.364,1,0.0516371753900706,0.680877933229168,0.24,0.19,1,0.30323107630474,0.100607952897876
"SLK",0.0516623851950115,-0.891439694815615,0.108,0.242,1,0.857133686102913,0.544771805010826,0.076,0.075,1,0.857133686102913,0.100655768345985
"SEC24D",0.463778349651121,1.06231971352067,0.096,0.061,1,0.0517390921805795,1.12902795351135,0.094,0.057,1,0.463778349651121,0.100801250701489
"TXNL4A",0.493361756132473,0.607728111613842,0.263,0.242,1,0.0517405325150248,0.701773122532279,0.269,0.235,1,0.493361756132473,0.100803982325111
"MRPL48",0.368425951183462,-0.394340550851144,0.114,0.182,1,0.0517586141252137,0.978026152656942,0.17,0.126,1,0.368425951183462,0.100838274114265
"LINC00402",0.207500204833218,-1.85313757439043,0.006,0.03,1,0.0518028328382365,-1.71390913611659,0.006,0.033,1,0.207500204833218,0.100922132186407
"ACTR1A",0.564750600421673,0.646515304928159,0.293,0.303,1,0.0518963685350889,0.928764109000217,0.199,0.156,1,0.564750600421673,0.101099504003048
"RCBTB1",0.776990463226332,-0.577178681890886,0.048,0.061,1,0.052098828536665,-1.45545154082582,0.006,0.033,1,0.776990463226332,0.101483369138437
"FBXO8",0.0521192234278756,-1.40779024761312,0.054,0.152,1,0.263760180779393,1.29940298964153,0.053,0.036,1,0.263760180779393,0.101522033405026
"TTLL3",0.537769789716052,-0.528931881570458,0.06,0.091,1,0.0521661941051417,1.72222533686028,0.053,0.026,1,0.537769789716052,0.101611076402868
"MLEC",0.158294684070664,1.17078441671552,0.246,0.152,1,0.0521818469666666,1.13737119998161,0.152,0.109,1,0.158294684070664,0.101640748780481
"CDIP1",0.0522387884592772,2.14717158417671,0.222,0.091,1,0.0999746504746925,1.07353761860367,0.129,0.096,1,0.0999746504746925,0.101748685898861
"USP42",0.0524599780828052,-1.09789455608893,0.072,0.182,1,0.794367967411339,0.757831422274778,0.035,0.032,1,0.794367967411339,0.102167906865162
"H6PD",0.0524859864316132,-1.11174198449232,0.036,0.121,1,0.428724071353652,0.741164724904314,0.058,0.046,1,0.428724071353652,0.102217194091527
"ZNF512",0.0524859864316132,-1.026828151377,0.036,0.121,1,0.219468567109244,-0.426930607538036,0.029,0.052,1,0.219468567109244,0.102217194091527
"OSGEPL1",0.0524859864316132,-0.698519715029792,0.036,0.121,1,0.584758399302103,-0.451746684907368,0.012,0.017,1,0.584758399302103,0.102217194091527
"GEMIN2",0.0524859864316132,-1.00229331116573,0.036,0.121,1,0.114993998979226,-1.22674379133565,0.018,0.043,1,0.114993998979226,0.102217194091527
"ZNF844",0.0524859864316132,-0.746647088819814,0.036,0.121,1,0.859587403284908,0.731498757059239,0.023,0.026,1,0.859587403284908,0.102217194091527
"ENDOG",0.169288109175069,-1.57867878343828,0.036,0.091,1,0.0525580806848077,1.73120251561642,0.053,0.026,1,0.169288109175069,0.102353809524345
"CAMKK2",0.207500204833218,-2.30740549881051,0.006,0.03,1,0.052769444583513,-0.272892125108298,0.035,0.079,1,0.207500204833218,0.102754274885373
"HAUS1",0.0528256758733077,-0.755281392934462,0.102,0.242,1,0.354253663877827,0.541108939122739,0.158,0.14,1,0.354253663877827,0.102860799715144
"LYSMD2",0.788387484925016,0.264777146255259,0.168,0.212,1,0.0528610322282381,-0.255992119598953,0.175,0.269,1,0.788387484925016,0.102927775728241
"FCGR3B",0.0529085039475443,1.34973519248916,0.317,0.182,1,0.852040364550531,0.693603909163897,0.012,0.014,1,0.852040364550531,0.103017698105121
"ZFAND3",0.291984756687111,-0.329752694808238,0.317,0.424,1,0.0529314365855701,1.07489767366627,0.146,0.105,1,0.291984756687111,0.103061136192128
"ELP2",0.292930231443397,-0.442595865074481,0.18,0.273,1,0.0530190233021972,-0.303998671626441,0.099,0.164,1,0.292930231443397,0.103227029772475
"PIGQ",0.0530263207662364,-1.23568982815058,0.054,0.152,1,0.920962416305035,0.347531975720561,0.047,0.05,1,0.920962416305035,0.103240850838469
"SEMA4B",0.991113502213005,0.151939323776256,0.03,0.03,1,0.053045993295939,-1.12128791696442,0.018,0.052,1,0.991113502213005,0.103278109187125
"CCNG2",0.525433588049257,-0.335578330576894,0.036,0.061,1,0.0530485864470879,-0.373296333591632,0.064,0.12,1,0.525433588049257,0.103283020370142
"AAR2",0.751907366683078,0.778461747985176,0.102,0.091,1,0.0531206446568351,1.17423205981371,0.094,0.057,1,0.751907366683078,0.103419486424912
"PPP1R15A",0.0532196985513285,-0.452998482929654,0.737,0.848,1,0.430942952545097,0.167980915643266,0.591,0.647,1,0.430942952545097,0.103607060788763
"NSMAF",0.143745610122355,-0.419418888280199,0.126,0.242,1,0.0532241484910703,-0.605090541592826,0.041,0.086,1,0.143745610122355,0.103615486999541
"MFN2",0.867655252016028,-0.104734363306514,0.108,0.121,1,0.05343350659177,-0.409144778016987,0.023,0.061,1,0.867655252016028,0.104011873556847
"RNF19B",0.933606988394362,0.277485047543995,0.054,0.061,1,0.0534838411842517,-1.02321380364832,0.012,0.043,1,0.933606988394362,0.104107161100681
"SMIM10L1",0.444122008224103,0.238556386701315,0.216,0.152,1,0.0535201139022321,1.08058113485053,0.135,0.093,1,0.444122008224103,0.104175825212356
